,error0
0,484.3888888888889
1,4.423357664233577
2,8.636363636363637
3,3.372407547217693
4,12.384615384615385
5,1.5752792574513192
6,2.552232142857143
7,4.256273764258555
8,2.3333333333333335
9,1.0407480984016584
10,1.3763608087091757
11,3.0625
12,1.862005519779209
13,3.672373569447251
14,3.1209066941444377
15,1.0025474779301453
16,1.9732038881815932
17,1.0063374382948689
18,1.0165066752438379
19,1.0697164816745366
20,1.0092487571062698
21,1.51958448134634
22,1.319588108940765
23,9.714285714285714
24,1.4063097757357381
25,1.408070372195506
26,2.0
27,1.0546697038724373
28,4.499693627450981
29,3.2214729682186
30,1.0234392958233314
31,57.02928870292887
32,1.0094941879939596
33,1.5
34,1.3280632411067195
35,1.0029209530101573
36,1.008756336992795
37,1.0193113654171577
38,1.0021427696828702
39,1.0973555872519747
40,5.5221418161043285
41,1.0119950342235942
42,2.9083608738915507
43,2.3640846743419894
44,1.9126413453174833
45,5.5418994413407825
46,1.0228544869303577
47,1.4601686507936509
48,2.388205813564985
49,10.805194805194805
50,6.424352567014993
51,2.5451655322171898
52,1.029209688492036
53,11.397260273972602
54,1.0057246639837745
55,1.218132457857188
56,7.446290340826452
57,1.972864122072452
58,97.25
59,1.0026067743739597
60,1.3386203692993945
61,1.1333333333333333
62,1.0028485391063726
63,6.149132472416883
64,1.0746058570488095
65,1.9200524246395807
66,1.0448400066609502
67,1.023881055091988
68,1.3915702492996966
69,23.0
70,2.94706995412844
71,2.2067358496703102
72,1.1250810507088231
73,1.0084638639714885
74,1.2094760276182488
75,1.2144401358910126
76,1.0110303181993041
77,3.4
78,3.044699872286079
79,1.01131369847946
80,23.0
81,7.635651795836601
82,1.753337969401947
83,1.0145566254687424
84,1.7045378165868017
85,1.003799902068745
86,1.004702804832909
87,1.0110720098594097
88,6.166666666666667
89,7.195945945945946
90,1.5114942528735633
91,2.7058823529411766
92,1.3666093928980527
93,29.835249042145595
94,1.1959798994974875
95,2.2014792817842754
96,1.0715162593976542
97,1.1339563862928348
98,1.2711059909428375
99,1.0252009211137578
100,1.1292125214860884
101,1.0123294765477149
102,1.0111454874297046
103,7.560077519379845
104,1.0042786693111876
105,1.005946073791995
106,1.167230969912539
107,3.930504593193125
108,3.342419774242879
109,1.0661178578655002
110,20.263157894736842
111,1.6027922989138192
112,2.161290322580645
113,1.1357522524039272
114,37.6018306271888
115,1.0146431243280876
116,19.65
117,1.1170581202615786
118,1.0299043062200957
119,1.546875
120,64.24868881118881
121,1.0100480030385106
122,1.0128519313640294
123,1.036
124,1.0979497313369584
125,1.0373707252077913
126,1.3507462686567164
127,2.9676649971038196
128,11.867416025767437
129,2.1383414906405633
130,1.4021149582125192
131,1.3425050876752809
132,8.698582434008443
133,1.4834205933682374
134,2.4059196617336154
135,6.2916331724552075
136,9.676827860639683
137,1.1822052676510117
138,1.317184643510055
139,2.364465721253726
140,1.0165064990161246
141,3.2203318097172846
142,1.0122929667094203
143,1.700391443846175
144,1.1089346569788643
145,1.022496121788317
146,1.551381773074504
147,1.0658133800628125
148,1.0133440136605862
149,1.2556023485290952
150,1.0114457509124808
151,1.1067964643121373
152,1.0659301956850777
153,1.008220722614097
154,3.688740977711974
155,1.2498479695488638
156,165.89473684210526
157,1.0168320897690468
158,1.597125888676955
159,1.0768004168837937
160,1.8439625382431273
161,1.0019499805775576
162,1.6362126245847175
163,2.4014084507042255
164,2.4040093079688165
165,3.6903292181069958
166,8.891891891891891
167,1.4669164764613263
168,3.1298496240601503
169,3.857142857142857
170,1.8892013498312712
171,1.0585773710251665
172,1.0714285714285714
173,1.034015181605543
174,1.0586533334037307
175,1.062263373787401
176,5.016100619986703
177,1069.8919631093545
178,1.6565574964334144
179,1.2382491038145937
180,1.1390412396376228
181,2.663611342454888
182,1.230848890082025
183,1.0021334318991317
184,1.1062136764493278
185,2.7411884568785108
186,1.6006973604481816
187,1.0474865756615126
188,1.0098862034958165
189,1.0591366370362485
190,1.1993902246297705
191,4.727958571346143
192,1.524352872139271
193,1.21728794380917
194,1.058691534047752
195,1.008960506370002
196,9.667480533192556
197,7.86564134398809
198,41.09090909090909
199,1.8369411614228863
200,1.1032590051457976
201,4.832022006027386
202,39.379846526655896
203,1.825241114574821
204,5.504455585274392
205,1.0008257759721246
206,4.191648023862789
207,2.5714285714285716
208,3.343495573495126
209,1.006626220902715
210,2.5374779315149274
211,9.0
212,5.1489641232945935
213,1.6482097127316224
214,1.9853932787389048
215,1.020268060982929
216,1.3845132182760302
217,1.6444972783582557
218,1.0133583731081066
219,1.9070720522174602
220,3.0862152025703398
221,1.2829007218783899
222,1.233247487159865
223,1.0126510403550368
224,2.3
225,1.3284410351765579
226,10.26530612244898
227,1.0981343543031967
228,1.0102804320266872
229,3.9488643935499836
230,19.77775641641834
231,35.42857142857143
232,1.085871230649403
233,2.8513977090628524
234,1.970831534257074
235,6.284383959720593
236,2.3582089552238807
237,2.7158279919060715
238,2.2637774828322463
239,1.2051455172168721
240,10.742002042255745
241,1.0159203591762722
242,31.982758620689655
243,2.5555555555555554
244,5.462803081218012
245,919.1538461538462
246,1.0206249764240296
247,1.0919363122752954
248,1.230979156504199
249,7.033945840388071
250,5.860693412318515
251,1.0420348732604439
252,3.3333333333333335
253,1.0817424300675678
254,2.718347147003381
255,7.256549267140396
256,12.37639751552795
257,1.9712462723126167
258,1.035573145679956
259,26.17948717948718
260,1.0107013630693675
261,1.139430884455971
262,1.0014301067429312
263,1.0324078389336813
264,1.0098323613385412
265,11.550461446859185
266,1.015583393335085
267,1.0580664194000413
268,1.4524869258255042
269,28.428793774319065
270,4.531663122862161
271,4.294117647058823
272,3.1264140271493215
273,5.347208194003499
274,4.063949009192284
275,13.531471594798084
276,1.023011488643781
277,1.163589916931646
278,1.0398182372583873
279,2.393939393939394
280,2.0
281,5.070571955719557
282,1.1765383631455437
283,1.0109339359156615
284,1.5120561671465023
285,126.33403582718651
286,1.795199975097147
287,3.09931993285413
288,1.0136022736941674
289,1.199017092158483
290,1.8769024662468141
291,41.74675419168192
292,4.4525139664804465
293,13.273059566787003
294,1.4767025089605734
295,1.075385992392034
296,3.0555555555555554
297,3.311141304347826
298,1.9013621989783507
299,2.25240214378765
300,1.013017423036867
301,5.266666666666667
302,1.4401214037002936
303,4.468340095158083
304,1.2003638253638254
305,1.4282616663748682
306,1.5412922478890392
307,1.0041941544500697
308,1.2605661364002618
309,1.2236985745837115
310,1.2994796622839098
311,1.0831745238554928
312,1.475609756097561
313,1.5
314,2.4090791188064036
315,1.0076401311949694
316,1.6274018140693185
317,1.0016887432379642
318,1.0132817123658737
319,1.017718731137312
320,1.0579290713785905
321,1.0378770823953174
322,18.05
323,1.0246800731261425
324,1.3530662003114708
325,6.81208185465319
326,1.0141468226364203
327,1.0057461347043635
328,2.836734693877551
329,105.78083057003
330,2.033157593921458
331,2.174262348604051
332,2.768636263977198
333,2.26126190355854
334,1.6612833917888472
335,1.3403887247024482
336,2.8442460317460316
337,1.334234442016036
338,1.8224743505858387
339,1.0423893630556076
340,4.759593969249142
341,1.5677966101694916
342,1.2069677625070567
343,4.082929305662974
344,1.9034375
345,1.079375323159077
346,2.4127906976744184
347,1.247510993976473
348,4.372173913043478
349,1.9236415060831598
350,1.0693376470848936
351,18.18421052631579
352,2.4471529761148307
353,1.0164048856550085
354,787.082191780822
355,1.0083770349285583
356,1.7141334754229387
357,1.7597402597402598
358,1.0095234554393568
359,1.0370159032679638
360,1.8340943683409436
361,1.0431328388819474
362,6.476923076923077
363,3151.541176470588
364,4.132316606481505
365,1.1293702618234762
366,23.102272727272727
367,1.800289197978792
368,13.16326530612245
369,11.856875841100534
370,2.315179348155941
371,7.068672889875319
372,13.989358271525315
373,1.421499356536382
374,1.8297761688234504
375,1.1130184564831593
376,27.634434222124284
377,1.0116829191858494
378,6.221796711032571
379,16.892473118279568
380,55.0
381,1.0169902840349097
382,2.8852709621357917
383,9.413925792770272
384,7.600991291965606
385,1.0101037171658187
386,2.5
387,13.259803921568627
388,1.0109140479736405
389,1.0
390,1.1318277452031265
391,1.0006280433376629
392,1.3063063063063063
393,5.271687285735579
394,2.4280187948885694
395,2.0
396,543.0392304790645
397,5.013584670326114
398,5.101373882886488
399,31.026920678905437
400,4.738977476960728
401,20.333333333333332
402,1.6839719288261943
403,1.7532387415175816
404,2.2501749880059574
405,1.1445571353016208
406,10.67000854644665
407,32.91315434228289
408,1.3004454042380889
409,6.469169865642995
410,1.4527830582876455
411,9.594552196235025
412,1.0884414773627284
413,10.677113890175493
414,1.0093822462531896
415,1.0108494674226698
416,11.333333333333334
417,1.0333424961346687
418,1.3056913976312916
419,1.0128999963595327
420,3.064681724845996
421,1.5866907728251618
422,42.67032967032967
423,2.131872686667838
424,12.8
425,1.0102197708170155
426,2.978533138330782
427,68.68023255813954
428,3.8117647058823527
429,1.0494007005032477
430,5.895626155966452
431,5.129059296287779
432,5.0
433,5.866666666666666
434,1.0727301385947228
435,1.0133677318279735
436,14.201492537313433
437,13.57202408522464
438,1.1884583424848827
439,1.4086042909306453
440,1.112735847892683
441,4.486523019003945
442,1.6277372262773722
443,1.1055718475073313
444,2.1125873268782938
445,1.0052005412084501
446,2.5634894833644326
447,6.429311036651657
448,1.0102908101192256
449,2.36734693877551
450,1.923824041918589
451,1.0412130637636081
452,1.4787655338232824
453,5.177777777777778
454,4.1418320258248285
455,7.159073882717644
456,1.0
457,2.7777777777777777
458,6.0057718969908125
459,1.0082304987301722
460,1.0594416507716318
461,1.025264512122086
462,4.311688311688312
463,1.7839251098701097
464,2.3114814717659637
465,2.1377380885095802
466,1.0489088698809073
467,8.884615384615385
468,2.661760312205574
469,1.012837674041127
470,2.6731829455220586
471,1.5191243019449259
472,2.04247718889536
473,1.2444239631336405
474,1.0952367128661384
475,1.7925442873405444
476,3.707603182158156
477,1.011277071406931
478,2.386352984733643
479,2.7658486707566463
480,1.0027326382436788
481,7.529953917050691
482,5.082989994114185
483,6.806694686280396
484,8.983594864479315
485,1.394736842105263
486,1.0128242263196918
487,1.066605998172665
488,41.0
489,1.3430026488064204
490,1.03322513846419
491,8.918129770992367
492,10.658954217589521
493,1.0732306049307407
494,1.0973768643246247
495,1.1859653657275782
496,2.0943951041122473
497,3.7653608336576294
498,3.686912780532546
499,1.4944610249850923
500,6.55
501,1.067699442950282
502,1.4128499501922445
503,2.3084528849798587
504,1.3333333333333333
505,23.5
506,2.0902458722552093
507,25.56712834718375
508,1.8543034445543665
509,1.0807005563477876
510,1.0007097861769143
511,1.3174603174603174
512,3.5789473684210527
513,1.0074426164982746
514,1.0406914829525373
515,12.666666666666666
516,2.443559766176174
517,1.0326018808777429
518,1.0218927397954978
519,1.6238532110091743
520,220.39907407407406
521,9.354541412344881
522,1.042031581195879
523,1.0016745376206513
524,1.9855419613017973
525,4.570820282445211
526,1.004145532697313
527,1.1154652888639138
528,2.0699009045740833
529,2.3836928257287293
530,12.671276595744681
531,1.0093086969380924
532,1.8621513727833148
533,1.2670454545454546
534,3.7966445449854187
535,1.0090559193111865
536,6.860951812554461
537,817.6432432432432
