,error
0,3.3898096992019644
1,3.0487325174825175
2,4.451335055986219
3,5.989887974620799
4,3.0774856546687532
5,3.130898587397809
6,1.2493370390131637
7,1.2297609572687105
8,1.0267454780744116
9,3.8867521367521367
10,2.250206618745008
11,3.3395321217046146
12,1.2967617848650161
13,2.923943173943174
14,1.0417916286347633
15,2.545329176160211
16,3.763335778662754
17,1.971546517426719
18,1.954696724819165
19,1.1596929177894149
20,1.954696724819165
21,1.6646886795660898
22,1.926867172502057
23,4.436117256637168
24,1.5563176197836166
25,1.091586216870955
26,7.766963897346672
27,6.153838174273859
28,2.152192543922297
29,2.096900927207684
30,2.0263621222936
31,1.427986348122867
32,1.693840776361781
33,4.4277034757565
34,1.235529017310554
35,1.5072075610946447
36,1.8682723758548914
37,2.5581096169716977
38,1.8681640625
39,2.0570771934568066
40,2.428741711986888
41,1.1565342144725823
42,1.269453432524867
43,1.775364376301344
44,1.0883489784649365
45,2.957869034182013
46,1.954696724819165
47,3.257066337421259
48,1.0372185396301359
49,1.006227121279051
50,2.1181201818438042
51,1.2694842962388522
52,1.2325219014141926
53,5.889669986330794
54,2.1208928834536613
55,1.2224390243902439
56,1.7112326043737573
57,1.723770386541672
58,1.9041614123581336
59,2.131608339538347
60,1.8683592194344882
61,1.7176256262334901
62,2.337198929527208
63,1.0530669008929878
64,1.8938074740755233
65,1.1431830818490327
66,1.1132348682305242
67,3.274404511909762
68,1.2747453802524853
69,2.1440972632873665
70,2.6911579326490185
71,2.2410276046924498
72,1.242865386993501
73,1.8326582278481012
74,1.1667489294255047
75,3.4311865902073224
76,4.0946374892266295
77,5.493542382313995
78,1.599026692228285
79,1.2115475627070516
80,1.3549627493391012
81,2.4108129246712617
82,1.3089849108367626
83,1.3692353027847355
84,1.7909947542257625
85,1.8563214863012296
86,1.8090095381034728
87,2.1274013189333845
88,1.3753831242534125
89,1.634549423136888
90,3.5378045365443853
91,1.3999540888550697
92,2.373551004636785
93,1.5636801928485335
94,3.219206032379685
95,2.187460148777896
96,2.846103470857891
97,1.6807439738901342
98,1.3538932633420822
99,2.6419361440851414
100,26.23445945945946
101,3.2644628099173554
102,2.5462962962962963
103,1.2782795897138794
104,6.284309837744952
105,2.098787232124072
106,2.354898931376336
107,1.949805972667454
108,1.2684262948207172
109,3.824516410662156
110,2.088994424943217
111,1.2452988429253182
112,1.2113023053945722
113,5.989887974620799
114,6.10549031230319
115,6.16043726388554
116,1.954696724819165
117,1.0826491516146688
118,1.0255102040816326
119,2.8056509446554463
120,27.014314928425357
121,1.3077151626254193
122,1.3804516087170122
123,3.451129912056106
124,3.7003205128205128
125,2.6605409513281977
126,4.1509267431597525
127,4.558546883491493
128,1.210059018351447
129,1.954696724819165
130,1.6349156777014366
131,1.3999540888550697
132,2.7081116400634744
133,1.3248607307386222
134,1.287313432835821
135,2.1887800979118794
136,6.213051823416507
137,3.601467331118494
138,2.888888888888889
139,29.58091286307054
140,4.038461538461538
141,31.370689655172413
142,1.5154639175257731
143,2.8524761336515514
144,12.090909090909092
145,9.888412017167383
146,2.878238341968912
147,1.5217391304347827
148,18.083333333333332
149,2.6565874730021597
150,1.5798088542238822
151,42.007679001991825
152,8.607843137254902
153,4.163265306122449
154,1.5825503355704698
155,1.3533423880949569
156,5.63618771165941
157,1.5185998450012916
158,4.92
159,3.769230769230769
160,1.95058001189768
161,1.630977898028743
162,1.202298788839058
163,1.3518856447688565
164,17.764890282131663
165,1.7689704310651941
166,1.133695425109672
167,1.2548661800486618
168,55.285714285714285
169,2.9047619047619047
170,2.345214054927302
171,4.714285714285714
172,5.422686230248307
173,2.139275766016713
174,13.225339059859069
175,1.6756756756756757
176,2.7873858746982894
177,87.17647058823529
178,9.04
179,7.714025500910747
180,2.854579792256846
181,3.1816930488644184
182,705.2
183,7.407894736842105
184,3.1297581284694687
185,2.3124306326304107
186,42.88056324610759
187,13.88170731707317
188,13.484330484330485
189,1.497787610619469
