,error
348,2.2883914100486225
349,1.0157726591193583
350,1.0301783902051624
351,1.4005773364248721
352,1.0117878631267985
353,1.5461549804615498
354,1.0637012653561035
355,104.10843373493977
356,146.65196374622357
357,4.272180008730917
358,1.2673081436282563
359,3.9316486372477133
360,2.3136971046770602
361,1.6958351328305814
362,1.233659325969183
363,1.1571076661980573
364,1.0297856864527861
365,3.4493519441674976
366,1.7206812002735477
367,6.585632447286362
368,11.51779721328353
369,1.0307440591064145
370,6.410448314648406
371,17.152542372881356
372,1.5602128341647346
373,1.6483416836986182
374,1.047010336912999
375,1.0858550789851726
376,5.074395189675133
377,148.53671970624234
378,460.2204724409449
379,1.179912350904011
380,1.6037648866692278
381,2.778752298769274
382,4.986911583380974
383,156.40062720501763
384,1.4010991918495024
385,8.834936420688942
386,10.209503973894664
387,1.171229549600054
388,14.965382412683502
389,1.3047157254230843
390,1.3728568960903442
391,1.0427973034634572
392,3.293790546802595
393,1.082038371386405
394,13.06369757707332
395,11.547514719272874
396,3.89565894490948
397,1.8044223402110358
398,1.2467467315805245
399,2.555909356259619
400,1.0834600093941071
401,1.3331067865661175
402,1.25
403,4.410986240941078
404,1.0695543693723288
405,3.437708087208678
406,6.355371900826446
407,1.0784104823208311
408,1.0265197760036424
409,1.8174775360539974
410,1.1149594023332356
411,1.7869516535734118
412,1438.2978723404256
413,147.79053128330034
414,8.083562585969739
415,15.607277114554229
416,2.642187700603415
417,17.15346855770411
418,5.326032337205522
419,1.3190710427970738
420,1.2684879987988074
421,15.489007642174567
422,8.23030303030303
423,1.06383969237285
424,2.1159487594489708
425,4.276962364380615
426,2.91882201955207
427,1.2103074276310868
428,1.3998204606022926
429,1.3738612089269682
430,1.1457842401699196
431,1.1621366739089525
432,340.2608695652174
433,1.2624871217390312
434,5.76832792932961
435,1.1895564143671633
436,178.1206896551724
437,1.072594579349352
438,1.3425735829777572
439,1.0347349177330896
440,43.9887482419128
441,1.5366647845858261
442,1.4089295370408885
443,1.2529222384012184
444,10.974608373860752
445,41.19657258064516
446,1.4218163588819488
447,4.393345464479356
448,9.97791689069821
449,1.0302423167673829
450,14.885625548578759
451,1.6222318395473694
452,25.238269740262957
453,1.7257924943055791
454,1.242783290601764
455,3.1832292293218587
456,1.0621519301887068
457,6.198783744650728
458,6.695652173913044
459,1.1150212159517707
460,1.6491865371623493
461,1.0098899610182295
462,1.2016304504407451
463,1.051091162086154
464,1.130396292166013
465,2.34728722727337
466,2.1358244694118493
467,8.06236793932653
468,737.1068965517242
469,1.2044851375942707
470,1.0872356004873893
471,1.3772102785918847
472,1.8930929949641153
473,6.68183466279913
474,1.0599899604253977
475,10.97051886351658
476,1.1433721157584598
477,1.4953591459315034
478,1.0613489193507695
479,1.1869379542561491
480,1.292140881834859
481,2.0995958998620146
482,1.0806268430700565
483,1.5683494191010945
484,1.432714511473587
485,1.05
486,1.0349498231213494
487,1.033598316351431
488,2.512931802410905
489,3.027050162643383
490,9.755097591814787
491,1.4588236342454126
492,1.3276475120411686
493,1.1533892190956885
494,1.4641896577972495
495,1.2469473315009283
496,2.9232829500328235
497,1.6979438878839996
498,4.079615037202025
499,318.3076923076923
500,3.053404276591224
501,1.58427322102074
502,1.3103448275862069
503,1.3880614518588015
504,1.2802486519139713
505,20.0
506,2.9974853047931105
507,1.21617831830456
508,14.239606953892668
509,1.1250231809623792
510,1.1963879158527153
511,1.1185726596243455
512,15.447013487475916
513,16.64828457355475
514,1.133152327899064
515,512.5189003436426
516,4.5
517,1.4649223552806925
518,1.9170355722343317
519,1.1210655084256536
520,1.4210513568805836
521,4.8909467583638735
522,3.1279423095146863
523,1.0024305877919708
524,1.60812128334673
525,1.0905628035425197
526,1.1410117136437807
527,15.192454893384364
528,1.0629146648364218
529,2.636579417627601
530,4.4
531,1.1109709962168979
532,2.1825976702278482
533,1.1930313222619298
534,1.9153846153846155
535,1.3721347307067198
536,3.103003865794874
537,10.333333333333334
538,3.69811320754717
539,1.7870769026111737
540,1.1488527146071452
541,6.1074381690260084
542,1.7262773722627738
543,11.883411090881506
544,1.4031122856154299
545,2.410413780772888
546,1.8929354143079136
547,1.2060216780409474
548,1.131964273233564
549,1.1060289006387443
550,1.178454089572886
551,1.0030646476739935
552,1.285660282648505
553,1.043955731796071
554,1.7716552834576893
555,3.7937803022208874
556,4.055526352192558
557,2.3992210158006464
558,1.726635528027773
559,2.4573991031390134
560,7.0
561,1.3108967970077992
562,6.5825191372798955
563,7.35609756097561
564,6.962703219636595
565,2.219980482110994
566,1.10733794509057
567,1.1556493541783663
568,1.9773238681305867
569,1.165263551751555
570,90.0
571,1.8899015013037865
572,2.4512667669859454
573,348.73333333333335
574,3.492341154950645
575,1.123416140063166
576,1.5142095590640205
577,2.067479585080556
578,1.1556635854364856
579,1.1642787756316448
580,1.0944652587478274
581,1.6203639455095098
582,1.3889112990809063
583,4.666666666666667
584,1.6008793356130924
585,1.5891465586935885
586,1.7393785180044723
587,58.236486486486484
588,1.0255189413087862
589,5.578777255662465
590,1.0799009252969294
591,1.056265073902344
592,4.654382201032976
593,1.7911473403865605
594,7.487910547609188
595,1.2899318122737906
596,1.6468699425838307
597,475.980198019802
598,12.809680866745284
599,1.3049659406827674
600,3.879124224179641
601,1.1126100802051135
602,1.0545218120288584
603,1.184822175618555
604,2.286786668319789
605,4.719469359310075
606,1.070819759072657
607,193.66900790166812
608,36.54545454545455
609,2.5706420096653053
610,1.0412713110735878
611,1.5829340296107397
612,1.6116945082918361
613,1.0046569926760085
614,1.204881117178717
615,1.2724120248520407
616,1.4227032345344977
617,2.0740776111800847
618,1.2187395324951238
619,1.1215214270824858
620,1.4843069000047684
621,1.2827667593615735
622,1.0060478786649145
623,1.1115737735487266
624,6.069522179332085
625,1.0494265075839646
626,1.1370571264416307
627,1.1481751463349412
628,5.18018018018018
629,9.207193272263103
630,1.1264804577025918
631,1.8342776203966005
632,1.3783964891995586
633,1.6687502421510765
634,3.3188324698099914
635,1.8820415700014204
636,2.985123471142964
637,3.721381386157276
638,1.1394164043003685
639,41.45073091115527
640,1.1924030330224389
641,1.0666596970429747
642,2.7399214898667155
643,1.1258132596567765
644,1.289983919371524
645,1.9584268294804223
646,1.6799068376353994
647,2.5191360751793255
648,1.0494634353453094
649,1.422265625
650,3.895928439149206
651,1.7180427746684828
652,1.1756603101901009
653,1.0244253456338888
654,2.115547292453827
655,4.8839770122605195
656,5.839866712681146
657,89.8848368522073
658,3.164517516982411
659,1.0823925079533816
660,1.2935301809738484
661,2.1362566677125825
662,2.507000119660165
663,2.6962094618530803
664,1.0923129759166499
665,2.523389627858317
666,1.0438064622753633
667,77.83714285714285
668,1.304979930544056
669,17.194617563739378
670,1.5333333333333334
671,3.798286143749424
672,2.632096896290689
673,162.08
674,1.0582155897071732
675,1.405553544650706
676,6.346330097087379
677,1.1141300246768489
678,1.0795060151452804
679,1.0969149546277506
680,4.215023708510107
681,2.130543493918877
682,147.50492610837438
683,1.3980757917032762
684,3.5303040295456043
685,4.131165971799316
686,1.8284047469180342
687,3.0562658850878996
688,1.4517783924179057
689,1.0559421154985147
690,1.2097779995011224
691,2.042503588952026
692,1.819812084367673
693,10.89816559784156
694,1.0499673427414031
695,2.0606540456363756
696,173.83333333333334
697,2.1051354946763636
698,4.877286585365853
699,2.2016254183807376
700,1.0534021938713416
701,1.090740888871886
702,1.1823307981688158
703,1.4496841646700065
704,2.2198205088163663
705,1.3651749626095449
706,14.546297972483707
707,34.80086956521739
708,2.9199094150041613
709,1.1234819360372843
710,14.271753031973539
711,1.6179059875226673
712,1.8486385271760086
713,1.0328113383116913
714,2.020039505352893
715,7.909402916107354
716,1.1130421802362775
717,1.0795109649491277
718,55.28300769686205
719,8.463157894736842
720,1.4495847223868636
721,5.25
722,1.4074436643368489
723,1.0580028225859637
724,15.0
725,1.008566605584091
726,1.4774630729404599
727,5.778536977491961
728,20.835861139197842
729,1.397073480336981
730,1.9525760343901128
731,1.372898009249698
732,1.1974086688154566
733,1.4611833510454673
734,1.2757067836876295
735,2.8937231519283615
736,1.2917059377945335
737,3.565171938410332
738,8.546514285714286
739,1.3417048999845813
740,1.0931120460520265
741,1.082107461488991
742,27.0
743,1.5376645278187824
744,1.2103074276310868
745,1.4638421857088268
746,9.708333848353378
747,1.1675982344192295
748,1.2219273395954475
749,5.974194690685318
750,5.573052503203424
751,5.0718823776621385
752,9.492587200515848
753,1.118221798116417
754,1.4417788634646749
755,1.035846511164427
756,468.4736702831437
757,54.333333333333336
758,1.0741139485810258
759,1.0779720664247223
760,1.1727963118334443
761,10.763696003229713
762,20.96261199172984
763,1.1688846030215365
764,1.34
765,6.221745617306975
766,8.870938036908397
767,1.4025271120745275
768,6.630820593554792
769,5.0
770,1.1032809859110722
771,1.0619050034082282
772,10.6
773,1.5216917867524407
774,25.666666666666668
775,1.6607318115756178
776,4.84145320111217
777,1.6619396780692959
778,5.91059858814428
779,1.0849873152808605
780,1.1278698878888362
781,1.1304347826086956
782,1.0331013456851081
783,2.5177852534053935
784,39.46785714285714
785,1.085713204523462
786,69.82605945604048
787,1.0915644029300486
788,65.53992518703242
789,8.57590677856389
790,1.452686979934455
791,115.89152996317375
792,4.284236982602228
793,1.4637222099023461
794,851.1666666666666
795,1.8823325844132335
796,2.269987016241088
797,3.3657846279751755
798,1.4420218824483406
799,1.1715896669096246
800,1.1576500761400979
801,1.581558395456159
802,1.0307235254069445
803,1.3986219799218422
804,1.1938936641429703
805,11.240757439134356
806,1.3688323791099584
807,1.1105013206424381
808,4.649250030990455
809,5.004225352112676
810,1.1265837280072342
811,3.3975155279503104
812,15.10437948821685
