,error0
0,1.818006993006993
1,5.629303488675507
2,1.304209301466514
3,17.395066851407712
4,1.389121704208137
5,67.85
6,1.6540413900819992
7,25.798600525329405
8,1.9543207213844522
9,5.334093500570125
10,11.736040609137056
11,1.7481255559791586
12,17.542954268782875
13,4.003520474337595
14,4.4657904909161195
15,3.4521682303229966
16,3.0844327176781
17,3.4975031210986267
18,5.135752688172043
19,2.088602974723971
20,4.060164739321215
21,8.678278065104958
22,2.122801697998787
23,1.041159980855823
24,1.4916182754464775
25,9.706267217630854
26,2.1380309531786783
27,72.8989898989899
28,5.748873685966961
29,5.129466532460996
30,7.121212121212121
31,9.086758978797057
32,17.676056338028168
33,26.08
34,42.67351209193299
35,2.5705329153605017
36,2.2615921768507676
37,1.3756265018880878
38,4.383193934016434
39,2.0826994343670764
40,3.3682585799891047
41,1.8332354580711319
42,9.320888518369895
43,3.9239925631910624
44,2.5697113684711788
45,1.2861560298068637
46,23.603406593406593
47,3.8171856010332923
48,93.58333333333333
49,3.3278541097624874
50,12.176261937244202
51,6.419106714632966
52,95.76847510605046
53,2.1415003079775285
54,3.001166901579604
55,9.669813268827989
56,1.7257650666499782
57,87.05714285714286
58,6.666666666666667
59,3.1152141802067947
60,2.1414127687331828
61,2.8710357929579597
62,82.15833333333333
63,1.2671339132361903
64,19.653061224489797
65,2.9574892443126677
66,7.860869565217391
67,5.747202441505595
68,20.277897635988065
69,8.25178826895565
70,3.7761194029850746
71,69.21132897603486
72,1.1962496294312617
73,2.9283757076340735
74,2.499347058986969
75,1.2175315778039328
76,1.6927024725322866
77,23.14033366045142
78,3.524336283185841
79,1.928171033763525
80,2.5935932244897346
81,1.703217744454858
82,3.939538630541491
83,4.954712853290071
84,4.326181483031201
85,1.9921326428259793
86,1.0721199010811002
87,2.3655597568563635
88,10.909971356842082
89,37.95134993290043
90,207.17514792899408
91,20.583427002810353
92,1.7375767880878914
93,2.371366656928023
94,1.3002343864446506
95,5.8119542692605055
96,2.776342234493802
97,1.551612816519979
98,4.3283516623615075
99,3.742331603116101
100,6.922155940166325
101,2.1270317636083043
102,56.996565094154384
103,3.6775173793844713
104,6.749444236796117
105,50.46783256916896
106,1.6651854759434352
107,1.6019150770579154
108,2.8702849100888046
109,86.06128181445285
110,3.841850942803015
111,1.5456715345327618
112,2.2513990120139105
113,10.76130900659605
114,4.860221920937487
115,1.6814605110336818
116,8.53698541514592
117,1.7449203224685002
118,3.4359821373952406
119,2.945617726716533
120,21.34334241167358
121,3.278248838818065
122,1.7578473878610814
123,1.5085144927536231
124,23.834034718569175
125,3.43461255308038
126,10.546514372568488
127,1.079730850562191
128,7.8858560794044665
129,1.6744121941660055
130,4.976511510403835
131,10.24308997942467
132,6.617803555061817
133,31.428161949122178
134,6.25187790221251
135,1.3776279948833312
136,1.3494920490596
137,24.12463768115942
138,18.47847402338682
139,1.5199706862667632
140,3.178736082454593
141,13.014648228618416
142,6.111466868708258
143,266.85813595511195
144,12.710851477600272
145,2.5968712931428275
146,25.21787021305865
147,46.57637508922887
148,1.084044294493371
149,6.888403728621221
150,14.713182489956495
151,6.7969977202398395
152,12.006491152308056
153,1.8215851680857855
154,2.48140572404964
155,64.02228832397795
156,3.034506378970802
157,1.7292512569318599
158,2.6808735891901194
159,8.141532534065329
160,1.5507252962530989
161,12.98040067300021
162,6.509001795282423
163,10.557256488165509
164,3.7835464833319317
165,2.053158973697319
166,20.12164391597111
167,10.151044685647175
168,36.86236242175374
169,9.347497629921035
170,2.7268156510552126
171,1.0581470724796747
172,2.2908169365736963
173,12.830977910809684
174,48.833226121954226
175,4.014963554577068
176,290.998997995992
177,137.53285408235706
178,4.4480664296725045
179,5.84313207622874
180,1.5075004419114142
181,57.53835343334314
182,1.8992634250575597
183,1.6026118115308516
184,2.187949007201079
185,5.237999467535486
186,105.35251465972408
187,6.727481609942646
188,130.94871794871796
189,1.8052479190494508
190,1.510233005407256
191,13.405027326774139
192,290.39508310249306
193,1.1076152660898424
194,5.269196802485798
195,5.942554963666046
196,8.848300038619685
197,4.180049150962047
198,108.36621365278175
199,24.538669613853408
200,21.561846601739873
201,1.5954447151578197
202,2.420379675283785
203,6.3652339902314425
204,3.8736748879958802
205,4.1724025589015445
206,1.3003719029244516
207,2.823882891057573
208,1.8232269569973898
209,5.87394236592522
210,22.134368530020705
211,4.931441081744212
212,8.306146240914236
213,7.177944521109797
214,27.252553247966972
215,5.3386593237207345
216,1523.2622222222221
217,1.5427141353284892
218,15.820238766715283
219,31.337728751954693
220,1.2657951436450638
